歌手名字,artist_name
563282238,爱你（Cover 陈芳语）
1332137728,一曲相思（Cover：半阳）
862108882,走马（Cover 陈粒）
562592206,往后余生（Cover 马良）
1304194473,寂寞的恋人啊（Cover：莫文蔚）
573605137,童话镇（Cover 陈一发儿）
571336045,纸短情长（cover：烟把儿）
565217252,有没有（Cover 韦礼安）
564252472,体面（Cover yu文文）
564257160,蜜蜂（Cover 万琳玲）
歌手名字,李荣浩
1293886117,年少有为
133998,老街
518686034,戒烟
1318234987,贝贝
1318235595,耳朵
31654343,不将就 - (电影《何以笙箫默》片尾主题曲)
31134193,出卖
27731176,模特
407450223,爸爸妈妈
29710981,喜剧之王
27678655,李白
506092654,我看着你的时候
862129612,王牌冤家
29764562,作曲家
428375722,不说 - (电影《从你的全世界路过》路过版主题曲)
31877243,笑忘书 (Live) - (原唱：王菲)
29764563,不搭
1305547844,贫穷或富有
31134197,边走边唱
570334069,成长之重量 - (电影《动物世界》成长版片尾曲)
27731177,太坦白
1318234982,我知道是你
1309866644,张家明和婉君
862130427,念念又不忘
511920347,祝你幸福
31134170,小芳
29764564,自拍
29764565,哎呀
27731172,都一样
27731174,老伴
502242110,歌谣
407450218,有理想
1318234981,乐团
27731175,两个人
29764561,落俗
486323960,就这样
479223381,嗯
407459147,女孩
515143802,后羿 - (《王者荣耀》后羿英雄主打歌)
27731179,有一个姑娘
31134194,如果有一天
400074326,满座
493631465,裙姊
134000,小黄
407459145,优点
407459148,流行歌曲
29764568,天生
407450219,野生动物
29818451,王者之声  - (第25届台湾金曲奖颁奖典礼 现场版)
31134196,不留
歌手名字,华晨宇
29004400,烟火里的尘埃
32835565,国王与乞丐
1305366556,寒鸦少年 - (电视剧《斗破苍穹》主题曲)
32619105,我管你
442869498,齐天大圣 - (原曲：电视剧《西游记》片头曲《云宫迅音》)
481859794,齐天 - (电影《悟空传》主题曲)
33190545,异类
447076308,南屏晚钟 - (原唱：崔萍)
507364050,无聊人
420125810,Here We Are  - (电影《使徒行者》主题曲)
472137749,寻 - (节目《花儿与少年3·冒险季》主题曲)
509135782,智商二五零 - (《王者荣耀》鲁班七号英雄主打歌)
432698831,我离孤单几公里
437859519,我的滑板鞋2016 - (原唱：约瑟翰庞麦郎)
34228112,蜉蝣
29418037,微光 - (Shimmer)
426291338,For Forever
435288233,流浪记 - (原唱：巴奈)
29418042,我们都是孤独的
34964198,地球之盐
29357467,卡西莫多的礼物
419250437,造物者
422463501,To Be Free - (电影《勇士之门》宣传曲)
33705671,差不多先生 (Live) - live
448520454,如果你是李白 - (原唱：莫文蔚)
432698825,消失的昨天
417833854,巨鹿
441489796,Dear Friend - (原唱：顺子)
31645164,癌
29418040,拆弹专家
434981391,写给未来的孩子
29418038,Let You Go
434981389,世界是个动物园
29418043,不朽
471374398,随我 - (2017快乐男声主题曲)
29785948,我(live版)
434981388,逃离乌托邦
409060097,火星情报局
434981393,忧伤的巨人
444267927,痒 - (原唱：黄龄)
436699211,故乡的云 - (原唱：文章)
29418041,环游
28160015,趁你还年轻 - (电影《等风来》推广曲)
434981390,变相怪杰
29418045,枕边故事
29785930,春(Live版)
438801570,老鼠爱大米 - (原唱：杨臣刚)
522320210,穿心 - (《相爱穿梭千年2：月光下的交换》电视剧主题曲)
450041250,音乐剧《如果爱》片段 - (原唱：张学友)
571340083,夏之旅 - (Fresh Trip)
歌手名字,徐秉龙
514761281,白羊
522510615,千禧
504624714,青柠
1294899029,心事
1336871144,宝贝
461899833,鸽子
466370500,不二臣
557581095,双子
546723152,拥抱
509932349,失物招领
445505374,心仪
472117541,林宥嘉
528271077,年年
1323303739,艺术家
1306496592,霓虹
480783619,迂回
1299570603,戏精
486252038,陈瑞
430026506, 虹
429459647,What I Could Do
1319595713,青柠（合唱版）（Cover：徐秉龙）
1322670488,青柠（Cover：徐秉龙/桃十五）
1340701493,青柠（Cover：徐秉龙）
458243905,孤僻症
歌手名字,马雨阳
574566207,盗将行
1330993997,隐身药水
547969394,直面丑陋的自己
29805698,前方
1293953560,抱影而眠
439121043,鲜活
1306498527,毫无惊喜的一万多天
36080501,最轻的雪花
472944235,烛火
514761027,儿时 (Live)
413834633,小娃
482395089,离家的少年
41656504,时空梦
496298743,尘灰
558754137,青春是一本仓促的书
448316932,摩托车带我出京
29805686,雨中骄阳(序曲)
27678894,红尘
29805692,给我你的双手
534085837,希求 - (《莫名我就喜欢你》电影推广曲)
29805688,迷失
28288509,雪后晨早
29805691,挣
27678892,纯粹
521602251,我有一个长长的。。。
29805689,镜中迷
41637011,男子汉不哭
419373022,伤口
29805693,夜路茫茫
454213540,伟哥炸酱面
504663316,摩托车（交响）
29805695,宽广的街
29805697,信念(尾声)
504661556,伴你左右
27678890,灭
27678891,身影
504662831,雨中的骄阳
513360048,离家少年 (纯音乐版)
439121044,鲜活 (伴奏)
488008642,关于众筹的问候+《烛火》
41663670,马老湿进群拜年
513360049,战斗
569214142,炸酱面 (live in 北京)
496382039,尘灰 (伴奏)
504662460,幻美夜空
504663250,镜中迷片段
513356040,片头曲 (1)
513356041,奉献与真理
504663410,夜色中追逐
504662653,配乐专辑问候语
歌手名字,许嵩
167876,有何不可
411214279,雅俗共赏
28854182,惊鸿一面
167827,素颜
167655,幻听
167937,断桥残雪
573384240,如约而至
1327456179,绝代风华 - (天下3十周年主题曲)
167850,庐州月
554191378,我乐意
569213279,大千世界
167882,清明雨上
5255987,你若成风
412902950,最佳歌手
27646687,玫瑰花的葬礼
167844,灰色头像
167873,多余的解释
167870,如果当时
167744,半城烟沙
862099032,明智之举
28802028,山水之间
167885,城府
167666,闺蜜
167732,千百度
402073807,燕归巢
521415426,蝴蝶的时间
34040693,千古
167841,叹服
167691,天龙八部之宿敌 - (网游《天龙八部3》主题曲)
167888,认错
415792563,摄影艺术
167903,我想牵着你的手
448144319,今年勇
418603441,平行宇宙
167705,想象之中
167679,全球变冷
428095913,江湖  - (网剧《画江湖之不良人》主题曲)
167786,南山忆
167712,拆东墙
167715,医生
167815,情侣装
465677131,深夜书店
557584658,老古董
167727,降温
167894,星座书上
167709,河山大好
28952258,弹指一挥间
28029855,别咬我
28953350,七夕
167860,单人旅途
歌手名字,王力宏
25643291,需要人陪
27713963,好心分手 - (DUET WITH 王力宏)
27698606,爱一点 - (Love a Little)
25986095,大城小爱
25642125,你不知道的事 - (电影《恋爱通告》主题曲)
440411424,缘分一道桥 - (电影《长城》片尾曲)
27483167,唯一
25642952,我们的歌
25642129,依然爱你
461864856,飘向北方
25643258,心跳
25643327,爱的就是你 - (电视剧《蜜桃女孩》片头曲)
